takeoff_name,takeoff_lat,takeoff_lon,elevation,telegram_group_name,telegram_group_link,exclude,notes,site_guide
Sgurr An Fhuarail,57.16208,-5.201,573.05,Highlands,https://t.me/joinchat/gx0JDL-JdONiMGZk,,,
Sgurr Finniosgaig,56.842225,-4.971065,618.98,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,,,
Sgurr Na Feartaig,57.467725,-5.246675,770.74,Highlands,https://t.me/joinchat/gx0JDL-JdONiMGZk,,,
Sharpenhoe,51.9582,-0.44589,140.29,Dunstable,https://t.me/+zpCRlLWf29RmNTRk,,,https://dunstablehpc.com/site-guides/sharpenhoe-site-guide/
Shining Tor,53.258625,-2.01091,505.88,Central,https://t.me/joinchat/5iHr6hnc-gI4MDg0,,,
Simon Fell,54.16994,-2.369575,608.97,Pennines & Dales,https://t.me/joinchat/NcCY7NcPJ3lkMTZk,TRUE,Active Edge school site,
Skiddaw,54.63947,-3.13732,831.19,Lakes,https://t.me/joinchat/nexjPNs95rY4Yzk8,,,
Skirrid,51.8549,-2.97482,441.59,South Wales,https://t.me/joinchat/ksosguoLjyI0ZGFk,,,
Slaggyford,54.850975,-2.515355,420.42,Lakes,https://t.me/joinchat/nexjPNs95rY4Yzk8,,,
Sma Glen,56.46551,-3.81529,255.14,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,,,
Snowdon,53.074725,-4.071575,941.5,North Wales,https://t.me/joinchat/tP6m0r9gNJJmOTM8,,,
Sourton,50.69002,-4.06627,380.97,South West,https://t.me/joinchat/yg6UPwjHlFNhOGVk,,,https://sdhgpc.org.uk/sites/sourton
South Cerney,51.68687,-1.92145,108.45,West,https://t.me/joinchat/xxEzm4aeX6dhNTJk,,,
Southbourne,50.7215,-1.8166,23.48,West,https://t.me/joinchat/xxEzm4aeX6dhNTJk,,,http://www.wessexhgpg.org.uk/Sites/Siteguide/FullSiteGuide.pdf
Souther Fell,54.652675,-2.998565,463.91,Lakes,https://t.me/joinchat/nexjPNs95rY4Yzk8,,,http://www.cumbriasoaringclub.co.uk/SiteManagement/CSC_Specific_Site.php?site=SRF
Sow Of Athol,56.83914,-4.255375,772.77,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,,,
Sron A Gharbh Choire Bhig,56.68805,-5.39589,273.25,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,,,
St Bees,54.512705,-3.63922,14.49,Lakes,https://t.me/joinchat/nexjPNs95rY4Yzk8,,,http://www.cumbriasoaringclub.co.uk/SiteManagement/CSC_Specific_Site.php?site=SBS
St Cats,50.5964,-1.30578,182.84,Isle of Wight,https://t.me/joinchat/tSmGEGKwsGpkMTg0,,,
St. Aldhelms,50.59287,-2.05952,113.38,West,https://t.me/joinchat/xxEzm4aeX6dhNTJk,,,http://www.wessexhgpg.org.uk/Sites/Siteguide/FullSiteGuide.pdf
St. Bees,54.489875,-3.61055,0.05,Lakes,https://t.me/joinchat/nexjPNs95rY4Yzk8,,,
Stags Fell,54.3266,-2.19745,476.25,Pennines & Dales,https://t.me/joinchat/NcCY7NcPJ3lkMTZk,,,https://www.dhpc.org.uk/site-guide/stags-fell
Stanage,53.34632,-1.63178,420.74,Central,https://t.me/joinchat/5iHr6hnc-gI4MDg0,,,https://derbyshiresoaringclub.org.uk/site-guide/stanage
Standon Hill,50.612875,-4.04571,426.88,South West,https://t.me/joinchat/yg6UPwjHlFNhOGVk,,,
Stoodley Pike,53.71378,-2.04317,373.05,Pennines & Dales,https://t.me/joinchat/NcCY7NcPJ3lkMTZk,,,
Strath Rusdale,57.768515,-4.37814,530.31,Highlands,https://t.me/joinchat/gx0JDL-JdONiMGZk,,,
Strathyre,56.3259,-4.29433,617.84,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,,,
Stronend,56.07711,-4.20669,474.21,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,,,
Struddick,50.366,-4.40427,132.77,South West,https://t.me/joinchat/yg6UPwjHlFNhOGVk,,,
Sugar Hill,51.50662,-1.65892,202.46,West,https://t.me/joinchat/xxEzm4aeX6dhNTJk,,,https://www.tvhgc.co.uk/sugar-hill
Sugar Loaf,51.84308,-3.05893,345.94,South Wales,https://t.me/joinchat/ksosguoLjyI0ZGFk,,,
Suidhe Fhearghas,55.660675,-5.19681,532.36,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,,,
Swallowcliffe,51.03013,-2.03677,179.99,West,https://t.me/joinchat/xxEzm4aeX6dhNTJk,,,http://www.wessexhgpg.org.uk/Sites/Siteguide/FullSiteGuide.pdf
Swarth Fell,54.36477,-2.37548,648.12,Pennines & Dales,https://t.me/joinchat/NcCY7NcPJ3lkMTZk,,,
Swindale,54.544775,-3.029695,737.75,Lakes,https://t.me/joinchat/nexjPNs95rY4Yzk8,,,
Swinside,54.60806,-3.281725,393.05,Lakes,https://t.me/joinchat/nexjPNs95rY4Yzk8,,,http://www.cumbriasoaringclub.co.uk/SiteManagement/CSC_Specific_Site.php?site=SWS
Tailbridge,54.438585,-2.304225,490.94,Pennines & Dales,https://t.me/joinchat/NcCY7NcPJ3lkMTZk,,,https://www.dhpc.org.uk/site-guide/tailbridge
Talybont,51.86419,-3.35693,684.44,South Wales,https://t.me/joinchat/ksosguoLjyI0ZGFk,,,
Tarmachan,56.51268,-4.292435,780.07,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,,,
Telegraph Hill,50.84407,-2.5102,241.54,West,https://t.me/joinchat/xxEzm4aeX6dhNTJk,,,
Threlkeld Knotts,54.59718,-3.04247,454.77,Lakes,https://t.me/joinchat/nexjPNs95rY4Yzk8,,,
Thundergay,55.65658,-5.3462,403.45,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,,,
Thurnham,51.29471,0.588415,166.78,South East,https://t.me/joinchat/GOaWSlE5YAswZjc0,,,https://www.dfhgc.org/sites/thurnham
Tinto,55.59112,-3.701085,500.04,Borders,https://t.me/joinchat/gQNkjnuA51IwOTg0,,,
Tinto East,55.60432,-3.65757,463.88,Borders,https://t.me/joinchat/gQNkjnuA51IwOTg0,,,
Tow Scar,54.1746,-2.480905,319.18,Pennines & Dales,https://t.me/joinchat/NcCY7NcPJ3lkMTZk,TRUE,Active Edge school site,
Tops Of Fichell,56.79968,-3.01902,488.94,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,,,
Treak Cliff,53.34285,-1.79862,374.51,Central,https://t.me/joinchat/5iHr6hnc-gI4MDg0,,,https://derbyshiresoaringclub.org.uk/site-guide/treak-cliff
Builth Wells,52.163375,-3.340835,401.68,South Wales,https://t.me/joinchat/ksosguoLjyI0ZGFk,,Overlaps Tremain and Fforest Fields,http://www.malvern-hang.org.uk/index.php?option=com_content&view=article&id=97&catid=11&Itemid=105
Trentishoe,51.21494,-3.96708,266.86,South West,https://t.me/joinchat/yg6UPwjHlFNhOGVk,,,https://ndhpc.co.uk/sites_guide/trentishoe
Tresparret,50.71204,-4.65161,239.58,South West,https://t.me/joinchat/yg6UPwjHlFNhOGVk,,,
Triscombe,51.10595,-3.19767,248.66,South West,https://t.me/joinchat/yg6UPwjHlFNhOGVk,,,
Troutbeck,54.420885,-2.887085,439.21,Lakes,https://t.me/joinchat/nexjPNs95rY4Yzk8,,,http://www.cumbriasoaringclub.co.uk/SiteManagement/CSC_Specific_Site.php?site=TBK
Tudhope Hill,55.280345,-2.895935,527.09,Borders,https://t.me/joinchat/gQNkjnuA51IwOTg0,,,
Ubley,51.31175,-2.67549,225.61,West,https://t.me/joinchat/xxEzm4aeX6dhNTJk,,,http://www.avonhgpg.co.uk/sites/sites.php
Uffington,51.57718,-1.567135,234.92,West,https://t.me/joinchat/xxEzm4aeX6dhNTJk,,,https://www.tvhgc.co.uk/uffington-white-horse
Ullock,54.66175,-3.17945,314.02,Lakes,https://t.me/joinchat/nexjPNs95rY4Yzk8,,,http://www.cumbriasoaringclub.co.uk/SiteManagement/CSC_Specific_Site.php?site=ULP
Walla,54.58312,-3.118915,363.13,Lakes,https://t.me/joinchat/nexjPNs95rY4Yzk8,,,http://www.cumbriasoaringclub.co.uk/SiteManagement/CSC_Specific_Site.php?site=WAC
Warren,51.1016,1.22615,143.3,South East,https://t.me/joinchat/GOaWSlE5YAswZjc0,,,https://www.dfhgc.org/sites/warren
Wasdale Screes,54.417075,-3.31664,358.29,Lakes,https://t.me/joinchat/nexjPNs95rY4Yzk8,,,
West Lomand,56.24695,-3.30207,425.53,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,,,
Westbury,51.2626,-2.14746,201.21,West,https://t.me/joinchat/xxEzm4aeX6dhNTJk,,,http://www.avonhgpg.co.uk/sites/sites.php
Westward Ho!,51.035975,-4.25735,55.32,South West,https://t.me/joinchat/yg6UPwjHlFNhOGVk,,,https://ndhpc.co.uk/sites_guide/cornborough
Wether Fell,54.27013,-2.20558,549.72,Pennines & Dales,https://t.me/joinchat/NcCY7NcPJ3lkMTZk,,,https://www.dhpc.org.uk/site-guide/wether-fell
Weybourne,52.948605,1.14494,8.63,East,https://t.me/joinchat/1oNELt0BqesxNjJk,,,
Whernside,54.207335,-2.41976,535.06,Pennines & Dales,https://t.me/joinchat/NcCY7NcPJ3lkMTZk,,,https://www.dhpc.org.uk/site-guide/whernside
White Corries,56.62787,-4.84022,717.03,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,,,
White Horse,50.6586,-2.40473,139.44,South West,https://t.me/joinchat/yg6UPwjHlFNhOGVk,,,http://www.wessexhgpg.org.uk/Sites/SiteGuide/WhiteHorse.pdf
White Pike,54.47383,-3.090985,635.02,Lakes,https://t.me/joinchat/nexjPNs95rY4Yzk8,,,
Whiteless Pike,54.55924,-3.27151,607.69,Lakes,https://t.me/joinchat/nexjPNs95rY4Yzk8,,,
Whitesheet,51.01293,-2.09212,216.94,West,https://t.me/joinchat/xxEzm4aeX6dhNTJk,,,http://www.wessexhgpg.org.uk/Sites/SiteGuide/WhiteSheet.pdf
Whiteside,54.5864,-3.28691,671.69,Lakes,https://t.me/joinchat/nexjPNs95rY4Yzk8,,,
Whitestones,54.3809,-2.56474,409.56,Pennines & Dales,https://t.me/joinchat/NcCY7NcPJ3lkMTZk,,,http://www.cumbriasoaringclub.co.uk/SiteManagement/CSC_Specific_Site.php?site=WHS
Whitewool,50.97898,-1.075675,181.24,South East,https://t.me/joinchat/GOaWSlE5YAswZjc0,,,http://skysurfingclub.co.uk/sites-guide/
Widgery Cross,50.65193,-4.06855,440.61,South West,https://t.me/joinchat/yg6UPwjHlFNhOGVk,,,
Windbank,54.12924,-2.05327,375.56,Pennines & Dales,https://t.me/joinchat/NcCY7NcPJ3lkMTZk,,,
Winter Hill,53.62974,-2.513545,450.9,Pennines & Dales,https://t.me/joinchat/NcCY7NcPJ3lkMTZk,,,http://www.penninesoaringclub.org.uk/sites/winter-hill/
Wolf Crags,54.5922,-2.986195,516.14,Lakes,https://t.me/joinchat/nexjPNs95rY4Yzk8,,,http://www.cumbriasoaringclub.co.uk/SiteManagement/CSC_Specific_Site.php?site=WFC
Woolacombe,51.15888,-4.20607,163.14,South West,https://t.me/joinchat/yg6UPwjHlFNhOGVk,,,https://ndhpc.co.uk/sites_guide/woolacombe_site_guide
Worcester Beacon,52.10445,-2.3394,416.1,West,https://t.me/joinchat/xxEzm4aeX6dhNTJk,,,http://www.joomla.malvern-hang.org.uk/index.php/beacon
Wrekin,52.66943,-2.55195,379.34,Mid Wales & Mynd,https://t.me/joinchat/RuC0kVJ1ygY2OTY8,,,http://www.longmynd.org/?page_id=292
Wrynose,54.41832,-3.1118,448.84,Lakes,https://t.me/joinchat/nexjPNs95rY4Yzk8,,,http://www.cumbriasoaringclub.co.uk/SiteManagement/CSC_Specific_Site.php?site=WYP
Xclent,51.91455,-1.92412,270.53,West,https://t.me/joinchat/xxEzm4aeX6dhNTJk,TRUE,Tow site,
Yoke,54.450355,-2.86792,649.53,Lakes,https://t.me/joinchat/nexjPNs95rY4Yzk8,,,
Gargunnock,56.11127,-4.08335,239.42,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,,,
Pule,53.5902168,-1.9534149,417.58,Pennines & Dales,https://t.me/joinchat/NcCY7NcPJ3lkMTZk,,Manually added,http://www.penninesoaringclub.org.uk/sites/pule-hill/
Holme Moss,53.5320572,-1.8554027,515.18,Pennines & Dales,https://t.me/joinchat/NcCY7NcPJ3lkMTZk,,Manually added. Non-club site.,
Beddugre Hill,52.3207433,-3.3395227,385.85,Mid Wales & Mynd,https://t.me/joinchat/RuC0kVJ1ygY2OTY8,,Manually added,https://paraglidingwales.co.uk/general-information/beddugre-hill/
Tremaen,52.1550797,-3.350386,361.51,South Wales,https://t.me/joinchat/ksosguoLjyI0ZGFk,,Manually repaired,https://paraglidingwales.co.uk/general-information/tremaen/
Carn Brea,50.232397,-5.3880747,202.26,South West,https://t.me/joinchat/yg6UPwjHlFNhOGVk,,Manually added,https://www.khpa.co.uk/?page_id=91.html
Hayle Towans,50.210055,-5.4110687,0.56,South West,https://t.me/joinchat/yg6UPwjHlFNhOGVk,,Manually added,https://www.khpa.co.uk/?page_id=263.html
Chapel Porth,50.304673,-5.2321102,74.16,South West,https://t.me/joinchat/yg6UPwjHlFNhOGVk,TRUE,Manually added. Closed by National Trust.,https://www.khpa.co.uk/?page_id=97.html
Perranporth,50.360948,-5.1505369,7,South West,https://t.me/joinchat/yg6UPwjHlFNhOGVk,,Manually added,https://www.khpa.co.uk/?page_id=147.html
Sennen,50.078602,-5.6927941,76,South West,https://t.me/joinchat/yg6UPwjHlFNhOGVk,,Manually added,https://www.khpa.co.uk/?page_id=19.html
St Agnes,50.318383,-5.2300232,89.97,South West,https://t.me/joinchat/yg6UPwjHlFNhOGVk,TRUE,Manually added. Closed by National Trust.,https://www.khpa.co.uk/?page_id=157.html
Maker,50.340889,-4.1961917,103.09,South West,https://t.me/joinchat/yg6UPwjHlFNhOGVk,,Manually added,https://sdhgpc.org.uk/sites/maker
Battern Cliffs,50.3635864,-4.3497777,138.68,South West,https://t.me/joinchat/yg6UPwjHlFNhOGVk,,Manually added,https://sdhgpc.org.uk/sites/battern
Beesands,50.2487484,-3.6617313,101.86,South West,https://t.me/joinchat/yg6UPwjHlFNhOGVk,,Manually added,https://sdhgpc.org.uk/sites/beesands
Dizzard,50.7642574,-4.5907917,105.19,South West,https://t.me/joinchat/yg6UPwjHlFNhOGVk,,Manually added,https://sdhgpc.org.uk/sites/dizzard
Polhawn Fields,50.3233616,-4.2180639,55.01,South West,https://t.me/joinchat/yg6UPwjHlFNhOGVk,,Manually added,https://sdhgpc.org.uk/sites/polhawn
Strete,50.3027143,-3.6379028,96.71,South West,https://t.me/joinchat/yg6UPwjHlFNhOGVk,,Manually added,https://sdhgpc.org.uk/sites/strete
Trethill Cliffs,50.3615238,-4.2941002,96.71,South West,https://t.me/joinchat/yg6UPwjHlFNhOGVk,TRUE,Manually added. Closed.,https://sdhgpc.org.uk/sites/trethill
Cox Tor,50.5685094,-4.0789566,397.4,South West,https://t.me/joinchat/yg6UPwjHlFNhOGVk,,Manually added,https://sdhgpc.org.uk/sites/cox-tor
Meldon Hill,50.6607304,-3.84927,365.68,South West,https://t.me/joinchat/yg6UPwjHlFNhOGVk,,Manually added,https://sdhgpc.org.uk/sites/meldon
Blackstone Edge,53.6454542,-2.0498977,342.81,Pennines & Dales,https://t.me/joinchat/NcCY7NcPJ3lkMTZk,,Manually added. Non-club site.,
Waystone Edge,53.6252652,-1.9833457,439.47,Pennines & Dales,https://t.me/joinchat/NcCY7NcPJ3lkMTZk,,Manually added. Non-club site.,
Marros,51.737142,-4.625674,85.03,South Wales,https://t.me/joinchat/ksosguoLjyI0ZGFk,,Manually added,https://www.swwsc.co.uk/marrows
Ferryside,51.751952,-4.373048,70.32,South Wales,https://t.me/joinchat/ksosguoLjyI0ZGFk,,Manually added,https://swwsc.co.uk/ferryside
Snowdon Summit,53.0684065,-4.0788003,1085,North Wales,https://t.me/joinchat/tP6m0r9gNJJmOTM8,,Manually added,
Nant Gwythern,52.9765561,-4.4433276,300,North Wales,https://t.me/joinchat/tP6m0r9gNJJmOTM8,,Manually added,https://www.snowdoniaskysports.co.uk/node/24
Tremadog,52.9430731,-4.1493237,150,North Wales,https://t.me/joinchat/tP6m0r9gNJJmOTM8,,Manually added,https://www.snowdoniaskysports.co.uk/node/26
